,AAI,AEX,AF,AGN,AH,AHA,AI,AKZ,AL1,ASL,ASM,ATO,AVH,BAM,BAR,BB,BEK,BN,BNP,BOS,BXF,CA,CAP,CDI,CNP,CO,COL,CS,CSM,DEL,DG,DSM,DSY,EAD,EF,EN,EO,EX,FCE,FG,FP,FR,FTE,FUR,GBL,GLE,HEI,HEY,HO,IE,IHC,ING,KBC,KER,KPN,MC,ML,MMB,MMT,MOB,OR,ORD,PHI,PNL,PUB,RD,REN,RF,RI,RND,RNO,SAN,SGO,SOL,STM,SU,SW,TEC,TF1,TMS,UCB,UG,UL,UMC,UN,VIE,VK,VPK,WHV,WKL
PB45,0.0,831600.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10168.0,134880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB46,0.0,0.0,0.0,0.0,0.0,0.0,-55590.4081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38745.6,0.0,0.0,228.3,-46666.45,0.0,0.0,-237.0,0.0,-348138.51,0.0,0.0,0.0,0.0,0.0,-3382.27,0.0,-95117.85,0.0,0.0,-50981.25,0.0,-129129.0,7959.0,-419454.17,0.0,0.0,233.1,0.0,0.0,-33318.75,0.0,0.0,0.0,0.0,-175.6,0.0,-3421.07,-93737.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-133.75,-11309.0,-77448.5,0.0,17830.0,-1268.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB47,0.0,0.0,36313.2,0.0,0.0,1052.95,-367.181,0.0,0.0,0.0,0.0,-91.18,0.0,0.0,0.0,0.0,0.0,164.715,1636.444,0.0,0.0,1614.94,-88.15,51.56,286.2,4797.212,0.0,32986.01,0.0,0.0,355.73,0.0,-376.17,820.89,43.01,1560.82,3101.56,1499.69,595.839,0.0,3030.4,5346.44,32250.591,0.0,0.0,54686.71,0.0,0.0,-305.36,0.0,0.0,0.0,0.0,-94.916,0.0,328.91,-306.293,1169.42,0.0,0.0,-92.92,0.0,0.0,0.0,-149.08,-10096.6,0.0,-31.53,-358.924,0.0,1893.27,1448.87,1787.74,0.0,66608.03,172.7,-200.201,623.53,4148.9495,488.11,0.0,49232.82,-84.79,0.0,0.0,3.76,9379.844,0.0,0.0,0.0
PB48,0.0,-566681.96,1791601.42,51424.59,-2403.75,45899.09,58191.2405,-73508.66,0.0,-109420.6165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80428.28,-53395.16,0.0,0.0,423950.68,7597.45,0.0,0.0,-45021.61,0.0,-824587.6,0.0,0.0,-69108.29,-95557.39,0.0,62.05,783.88,41262.02,0.0,538941.54,-8805.344,0.0,-571377.22,0.0,-494618.8,0.0,0.0,-289593.81,128053.5,0.0,0.0,0.0,0.0,1748300.64,0.0,-22586.09,31075.5236,117523.41,-29170.19,457.4,0.0,0.0,20887.03,0.0,316218.85,0.0,0.0,-2698745.21,83014.932,0.0,-34033.51,-3699.71,215541.7,59685.76,34371.36,0.0,-9961.94,139275.02,0.0,0.0,0.0,0.0,0.0,680363.64,323.73,0.0,-237912.04,-7490.28,0.0,746.06,0.0,0.0
PB49,0.0,0.0,-4299.65,0.0,0.0,-56542.35,-12387.622,0.0,0.0,0.0,0.0,-20760.7,0.0,0.0,0.0,0.0,0.0,0.0,35623.462,0.0,0.0,-1965.1,0.0,-8.32,-429.5,0.0,0.0,21871.699,0.0,0.0,12197.926,0.0,0.0,1075.5,0.0,-2827.22,-73522.73,136147.37,16813.15,0.0,-782.251,-18127.07,0.0,0.0,0.0,12657.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.005,0.0,270.928,43.36,-76.95,-34064.0,0.0,420.3,0.0,0.0,0.0,-6448.75,0.0,0.0,9545.0,198.404,0.0,29788.444,-33446.058,22643.818,0.0,79451.7,-2003.32,-2104.659,953.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.6,-7506.214,0.0,0.0,0.0
PB50,0.0,-1055704.9,0.0,0.0,0.0,0.0,29754.64,31257.24,0.0,911.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69019.0,67755.0,0.0,0.0,-19500.0,12248.9,9997.5,0.0,8504.0,0.0,188753.0,0.0,0.0,8194.0,6745.5,0.0,-3130.25,11188.0,143660.0,0.0,-84434.5,327952.6,0.0,223241.0,0.0,231430.0,-1066.14,0.0,19720.0,12084.5,0.0,0.0,0.0,0.0,52469.8,-1512.0,3917.4,853862.0,25669.5,-5121.8,0.0,0.0,0.0,4095.0,0.0,87853.0,0.0,-6780.0,43388.25,53892.3,0.0,-12252.0,-7377.2,-1968.0,-9892.55,-14960.0,0.0,0.0,25674.0,0.0,0.0,0.0,0.0,-5442.0,1240.0,26672.5,103818.0,275493.35,0.0,0.0,0.0,0.0,0.0
PB51,0.0,0.0,-702370.0,0.0,0.0,0.0,0.0,0.0,0.0,-17362.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100767.5,236345.5,0.0,0.0,113049.0,-4987.5,0.0,0.0,0.0,0.0,207313.0,0.0,0.0,-1798.35,0.0,0.0,4725.0,0.0,99775.0,0.0,15470.0,4729.3,0.0,-112798.5,0.0,234460.0,0.0,0.0,421018.75,0.0,0.0,0.0,0.0,0.0,777750.0,-12198.0,26309.75,0.0,17318.0,42010.0,0.0,0.0,0.0,510.0,0.0,40350.0,0.0,0.0,369012.5,0.0,0.0,0.0,0.0,-19945.0,-55319.0,209965.0,0.0,0.0,0.0,0.0,21627.0,0.0,0.0,0.0,0.0,0.0,0.0,7289.9,-11445.0,0.0,0.0,0.0,0.0
PB52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB53,0.0,0.0,0.0,0.0,0.0,0.0,97835.8478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121029.75,-291619.98,0.0,0.0,-526440.5,31417.43,0.0,0.0,-67066.32,0.0,717862.52,0.0,0.0,-100704.69,0.0,0.0,47645.12,-36461.89,203379.82,0.0,0.0,-1710.478,0.0,-116552.62,0.0,418111.22,0.0,0.0,215622.0,0.0,0.0,61542.39,0.0,0.0,0.0,0.0,10065.66,0.0,-112064.56,77723.09,0.0,0.0,0.0,-102286.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33059.71,0.0,-5337.35,-9086.69,-461519.35,63.98,-184122.19,-80875.04,0.0,10081.04,0.0,0.0,0.0,-492894.72,0.0,0.0,0.0,269739.1,-88528.2594,0.0,0.0,0.0
PB54,0.0,0.0,-853829.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
